# date	ccse-NC-US	ccse-ND-US
01/22	1	0
01/23	0	0
01/24	1	0
01/25	0	0
01/26	3	0
01/27	0	0
01/28	0	0
01/29	1	0
01/30	0	0
01/31	2	0
02/01	0	0
02/02	0	0
02/03	3	0
02/04	0	0
02/05	0	0
02/06	1	0
02/07	0	0
02/08	0	0
02/09	0	0
02/10	0	0
02/11	1	0
02/12	0	0
02/13	1	0
02/14	0	0
02/15	0	0
02/16	0	0
02/17	0	0
02/18	0	0
02/19	0	0
02/20	0	0
02/21	2	0
02/22	0	0
02/23	0	0
02/24	0	0
02/25	0	0
02/26	0	0
02/27	1	0
02/28	0	0
02/29	8	1
03/01	7	0
03/02	23	5
03/03	19	1
03/04	33	4
03/05	77	1
03/06	53	2
03/07	166	3
03/08	116	4
03/09	75	1
03/10	188	6
03/11	365	5
03/12	439	10
03/13	633	8
03/14	759	7
03/15	234	12
03/16	1467	27
03/17	1833	35
03/18	2657	59
03/19	4494	74
03/20	6367	99
03/21	5995	100
03/22	8807	110
03/23	11220	189
03/24	10577	239
03/25	12034	324
03/26	17893	408
03/27	18640	520
03/28	19597	632
03/29	18931	586
03/30	22009	692
03/31	26368	1088
04/01	25819	1170
04/02	30389	1502
04/03	31997	1389
04/04	32998	1530
04/05	28185	1583
04/06	30186	1770
04/07	31398	2571
04/08	32016	2146
04/09	34649	2228
04/10	33536	2218
04/11	29358	2129
04/12	26959	1806
04/13	25791	1946
04/14	28591	2452
04/15	30008	2609
04/16	31523	2176
04/17	32806	2093
04/18	27851	1960
04/19	25681	1931
04/20	28422	2186
04/21	26038	2548
04/22	29297	2434
04/23	33431	2472
04/24	33566	2154
04/25	31801	1698
04/26	27100	1329
04/27	23173	1466
04/28	24674	2241
04/29	27845	2521
04/30	29505	2420
05/01	34220	1878
05/02	28002	1687
05/03	24502	1096
05/04	23402	1312
05/05	24563	2304
05/06	25147	2349
05/07	27791	1928
05/08	26882	1747
05/09	24969	1550
05/10	18856	889
05/11	19449	1006
05/12	22756	1613
05/13	20967	1746
05/14	27313	1777
05/15	25295	1670
05/16	24018	1274
05/17	18119	748
05/18	22015	1165
05/19	21032	1526
05/20	23509	1520
05/21	25665	1207
05/22	23438	1244
05/23	21198	1131
05/24	20114	611
05/25	18332	548
05/26	19526	651
05/27	18590	1518
05/28	22949	1178
05/29	24352	1160
05/30	23844	963
05/31	19175	688
06/01	17364	774
06/02	21374	1056
06/03	19978	997
06/04	21739	1009
06/05	25169	898
06/06	21838	706
06/07	17788	438
06/08	17528	492
06/09	18372	941
06/10	20827	897
06/11	23207	860
06/12	24871	818
06/13	25265	770
06/14	19377	308
06/15	19925	376
06/16	23797	824
06/17	25909	733
06/18	28192	711
06/19	31325	670
06/20	32256	618
06/21	26109	285
06/22	30488	380
06/23	35797	844
06/24	34459	757
06/25	40556	551
06/26	45323	617
06/27	42358	504
06/28	39355	273
06/29	40689	377
06/30	46174	655
07/01	51324	688
07/02	55121	724
07/03	52562	659
07/04	45748	265
07/05	49983	288
07/06	44650	355
07/07	60162	1213
07/08	59182	861
07/09	63278	1000
07/10	67718	822
07/11	60166	697
07/12	58901	459
07/13	59481	359
07/14	66977	925
07/15	67628	966
07/16	77378	943
07/17	72021	930
07/18	62763	869
07/19	61292	447
07/20	62007	513
07/21	64445	1107
07/22	71323	1216
07/23	69090	1094
07/24	73117	1132
07/25	66482	899
07/26	54849	472
07/27	56593	1120
07/28	65821	1374
07/29	71327	1432
07/30	67820	1209
07/31	67153	1256
08/01	57907	1115
08/02	47333	403
08/03	44847	527
08/04	57476	1377
08/05	53657	1375
08/06	59651	1251
08/07	58347	1242
08/08	55700	1082
08/09	46125	511
08/10	49766	526
08/11	46914	1063
08/12	57011	1503
08/13	51994	1069
08/14	64596	1336
08/15	47427	1036
08/16	41414	571
08/17	35939	444
08/18	45363	1324
08/19	47340	1350
08/20	44084	1079
08/21	48223	1105
08/22	44415	990
08/23	34429	450
08/24	37857	437
08/25	38232	1236
08/26	45093	1225
08/27	45881	1111
08/28	46211	971
08/29	46028	958
08/30	35362	310
08/31	34514	592
09/01	42534	1065
09/02	40583	1055
09/03	43906	1066
09/04	50113	965
09/05	44094	785
09/06	31148	403
09/07	24064	267
09/08	26737	441
09/09	33557	1190
09/10	36359	915
09/11	47531	1211
09/12	41055	714
09/13	34697	378
09/14	33954	422
09/15	39202	1290
09/16	38559	983
09/17	44740	870
09/18	48724	936
09/19	44073	712
09/20	36236	227
09/21	52465	356
09/22	38991	921
09/23	38447	1099
09/24	44152	913
09/25	50594	952
09/26	44880	740
09/27	36422	266
09/28	33319	316
09/29	42119	914
09/30	41417	947
10/01	44771	858
10/02	54538	907
10/03	50064	687
10/04	35467	337
10/05	39555	460
10/06	41953	705
10/07	50341	915
10/08	56230	961
10/09	57444	990
10/10	54642	618
10/11	44620	398
10/12	41673	317
10/13	52450	802
10/14	59536	985
10/15	63655	820
10/16	69165	883
10/17	57547	711
10/18	48223	388
10/19	58395	445
10/20	60355	933
10/21	62776	1125
10/22	71701	856
10/23	83747	947
10/24	83730	914
10/25	60807	340
10/26	66798	477
10/27	73632	986
10/28	78358	989
10/29	88521	971
10/30	99321	1030
10/31	89126	908
11/01	73594	401
11/02	84089	491
11/03	91530	1130
