# 感染拡大前比	神奈川県 横浜中華街駅	神奈川県 横浜駅	神奈川県 川崎駅	千葉県 千葉駅	千葉県 船橋駅	東京都 立川駅	東京都 銀座	神奈川県 橋本駅	栃木県 宇都宮オリオン通り	埼玉県 大宮駅西	東京都 東京駅南	東京都 新宿駅	栃木県 宇都宮駅	神奈川県 みなとみらい	東京都 丸の内	東京都 霞が関	東京都 羽田空港 第1ターミナル	東京都 渋谷センター街	東京都 大手町	東京都 品川駅	東京都 羽田空港 第2ターミナル	東京都 東京駅
2020/05/08	-48.6285714285714	-74.1	-62.3714285714286	-65.9142857142857	-53.0142857142857	-60.4857142857143	-68.5857142857143	-45.8142857142857	-49.7142857142857	-69.8285714285714	-76.1428571428571	-77.8142857142857	-59.8	-78.0857142857143	-78.2857142857143	-58.0142857142857	-69.4571428571428	-75.0285714285714	-68.7714285714286	-67.2285714285714	-76.7285714285714	-80.4714285714286
2020/05/09	-48.2285714285714	-73.6285714285714	-61.7	-65.2428571428571	-52.3285714285714	-60.2	-67.4857142857143	-44.9428571428571	-48.4714285714286	-69.4	-75.5571428571429	-77.0571428571428	-58.7714285714286	-77.2285714285714	-77.7	-57.3571428571429	-69.0714285714286	-74.7714285714286	-68.2142857142857	-66.7428571428571	-76.7428571428571	-80.0857142857143
2020/05/10	-48.0142857142857	-73.0142857142857	-60.8857142857143	-64.7142857142857	-51.6	-59.4714285714286	-66.4571428571429	-43.6428571428571	-47.3142857142857	-68.9	-75.2142857142857	-76.3428571428571	-58.2428571428571	-77.1428571428571	-77.6142857142857	-57.4571428571429	-69.1142857142857	-74.3	-67.8428571428571	-66.6428571428571	-76.7	-79.7571428571429
2020/05/11	-47.6714285714286	-72.5571428571429	-60.2428571428571	-64.1142857142857	-51.0714285714286	-58.8857142857143	-65.8142857142857	-42.8	-46.2285714285714	-68.5285714285714	-75.0714285714286	-75.7285714285714	-57.6857142857143	-77.1857142857143	-77.5	-58.0857142857143	-68.9285714285714	-74.0571428571428	-67.6857142857143	-66.6857142857143	-76.7142857142857	-79.7
2020/05/12	-43.6714285714286	-70.2142857142857	-57.4	-61.3285714285714	-48.7571428571429	-56.4	-63.9285714285714	-39.4285714285714	-42.5571428571429	-65.8714285714286	-72.9285714285714	-73.1428571428571	-55.6857142857143	-74.6857142857143	-76.7285714285714	-59.7285714285714	-68.4428571428572	-72.0714285714286	-68.4428571428572	-66.9142857142857	-76.0571428571429	-77.8857142857143
2020/05/13	-39.5428571428571	-68.0285714285714	-54.5428571428571	-58.6571428571429	-46.9857142857143	-53.7714285714286	-62.0857142857143	-36.5285714285714	-39.0428571428571	-63.3714285714286	-71.2857142857143	-70.8142857142857	-53.2571428571429	-72.7857142857143	-76.2142857142857	-61.5571428571429	-67.2	-70.0714285714286	-69.9285714285714	-67.4142857142857	-75.4571428571429	-76.1714285714286
2020/05/14	-35.2142857142857	-65.7857142857143	-51.3142857142857	-56.2	-44.6857142857143	-51.2285714285714	-60.4571428571429	-33.8714285714286	-34.7714285714286	-61.0428571428571	-69.6428571428571	-68.4571428571429	-50.4428571428571	-70.3142857142857	-75.5428571428571	-63.0285714285714	-66.3	-67.9142857142857	-71.3857142857143	-67.9142857142857	-74.7571428571429	-74.6571428571429
2020/05/15	-34.9857142857143	-65.9285714285714	-51.4	-56.4714285714286	-45.1142857142857	-51.4857142857143	-60.7428571428571	-33.9142857142857	-33.4714285714286	-61.2714285714286	-69.7857142857143	-68.5857142857143	-49.4571428571429	-70.7714285714286	-75.5857142857143	-62.8	-66.5	-67.8571428571429	-71.4428571428572	-67.8142857142857	-74.8285714285714	-74.7714285714286
2020/05/16	-34.8142857142857	-65.6428571428572	-51.2428571428571	-56.2714285714286	-45	-51.3714285714286	-60.4857142857143	-34.2857142857143	-32.2714285714286	-61.0142857142857	-69.4	-68.3571428571429	-49.3571428571429	-70.9142857142857	-75.6428571428571	-62.3714285714286	-66.9714285714286	-67.5285714285714	-71.2142857142857	-67.6285714285714	-74.9571428571428	-74.5714285714286
2020/05/17	-35.1571428571429	-65.8428571428571	-51.3714285714286	-56.3285714285714	-45.5714285714286	-51.5	-60.5428571428571	-34.6285714285714	-31.1	-61.1571428571428	-69.4428571428572	-68.3	-48.0857142857143	-71.1714285714286	-75.6571428571429	-61.9285714285714	-67.1142857142857	-67.3142857142857	-70.2428571428571	-67.4571428571429	-75	-74.8571428571429
2020/05/18	-34.6428571428571	-65.4142857142857	-50.9285714285714	-55.9	-45.1142857142857	-51.0571428571429	-59.9857142857143	-34.4142857142857	-29.4714285714286	-60.7714285714286	-69.0857142857143	-67.7714285714286	-46.7857142857143	-70.8428571428571	-75.3428571428571	-60.7857142857143	-67.2	-66.6714285714286	-70	-67.1428571428571	-74.9428571428572	-74.9
2020/05/19	-35.1	-64.7714285714286	-50.6428571428571	-55.6142857142857	-45.1428571428571	-50.6285714285714	-59.6571428571429	-34.5857142857143	-28.6285714285714	-60.6285714285714	-69.0571428571429	-67.4428571428571	-44.9857142857143	-71.4142857142857	-75.3	-60.7	-67.4285714285714	-66.4	-70.2142857142857	-67.3285714285714	-74.9714285714286	-74.8
2020/05/20	-35.7285714285714	-64.0857142857143	-50.4571428571428	-55.6142857142857	-45.1428571428571	-50.6857142857143	-59.5714285714286	-34.4714285714286	-27.8142857142857	-60.5428571428571	-68.7571428571429	-67.1571428571429	-43.6857142857143	-71.6428571428571	-75.3285714285714	-60.4	-67.6571428571429	-66.2714285714286	-70.2428571428571	-67.2714285714286	-74.8142857142857	-74.7142857142857
2020/05/21	-36.1857142857143	-63.1571428571429	-49.9857142857143	-55.2	-44.4285714285714	-50.3285714285714	-59.3285714285714	-34.3857142857143	-27.8142857142857	-60.1285714285714	-68.4142857142857	-66.5285714285714	-42.8285714285714	-71.7142857142857	-75.0714285714286	-60.1	-67.2428571428571	-65.8571428571429	-70.1428571428571	-67.0857142857143	-74.4142857142857	-74.5857142857143
2020/05/22	-36.3428571428571	-62.3285714285714	-49.6142857142857	-54.8714285714286	-44.2142857142857	-49.9857142857143	-59.0428571428571	-34.2142857142857	-27.7857142857143	-59.8571428571429	-68.1142857142857	-66.0285714285714	-41.7857142857143	-71.6142857142857	-74.9571428571429	-59.8428571428571	-66.9714285714286	-65.5857142857143	-69.9428571428572	-66.9	-74.6142857142857	-74.3857142857143
2020/05/23	-36.4285714285714	-61.4571428571429	-49.3571428571429	-54.0142857142857	-44.2714285714286	-49.5857142857143	-58.6714285714286	-33.9285714285714	-27.3285714285714	-59.4142857142857	-67.8857142857143	-65.6	-40.3571428571429	-71.4714285714286	-74.7285714285714	-59.6571428571428	-66.5428571428571	-65.2285714285714	-69.9285714285714	-66.7	-74	-74.3285714285714
2020/05/24	-35.8571428571429	-59.5571428571429	-48.3571428571429	-50.4285714285714	-43.1571428571429	-48.8142857142857	-58.0714285714286	-33.6714285714286	-26.6714285714286	-58.0285714285714	-67.2428571428571	-64.7142857142857	-40.0571428571429	-71.1571428571429	-74.2428571428571	-58.5142857142857	-66.0142857142857	-64.6	-69.7	-66.4285714285714	-73.6142857142857	-74.0142857142857
2020/05/25	-35.4428571428571	-58.2142857142857	-47.6714285714286	-47.0714285714286	-43.1142857142857	-48.8142857142857	-57.8142857142857	-33.0714285714286	-26.7142857142857	-57.0285714285714	-66.8571428571429	-64.1857142857143	-39.2714285714286	-70.9285714285714	-74.0285714285714	-58.8857142857143	-65.6285714285714	-64.2	-69.4	-66.3857142857143	-73.8428571428571	-73.8285714285714
2020/05/26	-34.7428571428571	-56.9	-46.8428571428571	-43.9857142857143	-41.5571428571429	-48.3571428571428	-57.3	-32.4571428571429	-26.2	-55.9142857142857	-66.3428571428571	-63.6857142857143	-38.9857142857143	-70.1571428571429	-73.8	-58.4	-65.4571428571429	-63.3571428571428	-69.0714285714286	-66.0857142857143	-73.7857142857143	-73.5
2020/05/27	-34.1714285714286	-55.1714285714286	-45.6571428571429	-40.3142857142857	-39.7857142857143	-47.6	-56.3714285714286	-32.2428571428571	-25.0571428571429	-54.5285714285714	-65.5428571428571	-62.5714285714286	-38.4857142857143	-69.4	-73.1428571428571	-57.7285714285714	-64.8714285714286	-62.2142857142857	-68.5714285714286	-65.4142857142857	-73.4571428571429	-72.8142857142857
