# 感染拡大前比	東京都 立川駅	東京都 銀座	東京都 東京駅南	東京都 新宿駅	東京都 丸の内	東京都 霞が関	東京都 羽田空港 第1ターミナル	東京都 渋谷センター街	東京都 大手町	東京都 品川駅	東京都 羽田空港 第2ターミナル	東京都 東京駅
2020/05/08	-60.4857142857143	-68.5857142857143	-76.1428571428571	-77.8142857142857	-78.2857142857143	-58.0142857142857	-69.4571428571428	-75.0285714285714	-68.7714285714286	-67.2285714285714	-76.7285714285714	-80.4714285714286
2020/05/09	-60.2	-67.4857142857143	-75.5571428571429	-77.0571428571428	-77.7	-57.3571428571429	-69.0714285714286	-74.7714285714286	-68.2142857142857	-66.7428571428571	-76.7428571428571	-80.0857142857143
2020/05/10	-59.4714285714286	-66.4571428571429	-75.2142857142857	-76.3428571428571	-77.6142857142857	-57.4571428571429	-69.1142857142857	-74.3	-67.8428571428571	-66.6428571428571	-76.7	-79.7571428571429
2020/05/11	-58.8857142857143	-65.8142857142857	-75.0714285714286	-75.7285714285714	-77.5	-58.0857142857143	-68.9285714285714	-74.0571428571428	-67.6857142857143	-66.6857142857143	-76.7142857142857	-79.7
2020/05/12	-56.4	-63.9285714285714	-72.9285714285714	-73.1428571428571	-76.7285714285714	-59.7285714285714	-68.4428571428572	-72.0714285714286	-68.4428571428572	-66.9142857142857	-76.0571428571429	-77.8857142857143
2020/05/13	-53.7714285714286	-62.0857142857143	-71.2857142857143	-70.8142857142857	-76.2142857142857	-61.5571428571429	-67.2	-70.0714285714286	-69.9285714285714	-67.4142857142857	-75.4571428571429	-76.1714285714286
2020/05/14	-51.2285714285714	-60.4571428571429	-69.6428571428571	-68.4571428571429	-75.5428571428571	-63.0285714285714	-66.3	-67.9142857142857	-71.3857142857143	-67.9142857142857	-74.7571428571429	-74.6571428571429
2020/05/15	-51.4857142857143	-60.7428571428571	-69.7857142857143	-68.5857142857143	-75.5857142857143	-62.8	-66.5	-67.8571428571429	-71.4428571428572	-67.8142857142857	-74.8285714285714	-74.7714285714286
2020/05/16	-51.3714285714286	-60.4857142857143	-69.4	-68.3571428571429	-75.6428571428571	-62.3714285714286	-66.9714285714286	-67.5285714285714	-71.2142857142857	-67.6285714285714	-74.9571428571428	-74.5714285714286
2020/05/17	-51.5	-60.5428571428571	-69.4428571428572	-68.3	-75.6571428571429	-61.9285714285714	-67.1142857142857	-67.3142857142857	-70.2428571428571	-67.4571428571429	-75	-74.8571428571429
2020/05/18	-51.0571428571429	-59.9857142857143	-69.0857142857143	-67.7714285714286	-75.3428571428571	-60.7857142857143	-67.2	-66.6714285714286	-70	-67.1428571428571	-74.9428571428572	-74.9
2020/05/19	-50.6285714285714	-59.6571428571429	-69.0571428571429	-67.4428571428571	-75.3	-60.7	-67.4285714285714	-66.4	-70.2142857142857	-67.3285714285714	-74.9714285714286	-74.8
2020/05/20	-50.6857142857143	-59.5714285714286	-68.7571428571429	-67.1571428571429	-75.3285714285714	-60.4	-67.6571428571429	-66.2714285714286	-70.2428571428571	-67.2714285714286	-74.8142857142857	-74.7142857142857
2020/05/21	-50.3285714285714	-59.3285714285714	-68.4142857142857	-66.5285714285714	-75.0714285714286	-60.1	-67.2428571428571	-65.8571428571429	-70.1428571428571	-67.0857142857143	-74.4142857142857	-74.5857142857143
2020/05/22	-49.9857142857143	-59.0428571428571	-68.1142857142857	-66.0285714285714	-74.9571428571429	-59.8428571428571	-66.9714285714286	-65.5857142857143	-69.9428571428572	-66.9	-74.6142857142857	-74.3857142857143
2020/05/23	-49.5857142857143	-58.6714285714286	-67.8857142857143	-65.6	-74.7285714285714	-59.6571428571428	-66.5428571428571	-65.2285714285714	-69.9285714285714	-66.7	-74	-74.3285714285714
2020/05/24	-48.8142857142857	-58.0714285714286	-67.2428571428571	-64.7142857142857	-74.2428571428571	-58.5142857142857	-66.0142857142857	-64.6	-69.7	-66.4285714285714	-73.6142857142857	-74.0142857142857
2020/05/25	-48.8142857142857	-57.8142857142857	-66.8571428571429	-64.1857142857143	-74.0285714285714	-58.8857142857143	-65.6285714285714	-64.2	-69.4	-66.3857142857143	-73.8428571428571	-73.8285714285714
2020/05/26	-48.3571428571428	-57.3	-66.3428571428571	-63.6857142857143	-73.8	-58.4	-65.4571428571429	-63.3571428571428	-69.0714285714286	-66.0857142857143	-73.7857142857143	-73.5
2020/05/27	-47.6	-56.3714285714286	-65.5428571428571	-62.5714285714286	-73.1428571428571	-57.7285714285714	-64.8714285714286	-62.2142857142857	-68.5714285714286	-65.4142857142857	-73.4571428571429	-72.8142857142857
2020/05/28	-46.6142857142857	-55.1571428571429	-64.6714285714286	-61.2714285714286	-72.5714285714286	-57	-64.8571428571429	-61.0857142857143	-67.9142857142857	-64.8714285714286	-73.2428571428571	-71.8857142857143
2020/05/29	-45.4	-53.8285714285714	-63.7714285714286	-59.6428571428572	-71.7857142857143	-56.0571428571429	-64.6714285714286	-59.6	-67.1428571428572	-64.1428571428572	-72.7428571428571	-70.9714285714286
2020/05/30	-44.0142857142857	-51.9571428571429	-62.4	-57.6714285714286	-70.8428571428571	-55.1142857142857	-63.9857142857143	-57.8285714285714	-66.2142857142857	-62.9428571428571	-72.8714285714286	-69.5714285714286
2020/05/31	-41.6857142857143	-47.6714285714286	-60.5	-54.4	-68.8	-54.4714285714286	-63.4428571428571	-56.0571428571429	-63.7857142857143	-62.1857142857143	-72.5714285714286	-67.1714285714286
2020/06/01	-39.3285714285714	-44.3285714285714	-58.9571428571429	-51.5	-67.4142857142857	-53.7571428571429	-63.2428571428571	-54.4714285714286	-62.0285714285714	-61.0285714285714	-71.9428571428572	-64.9571428571428
2020/06/02	-36.8	-41.0285714285714	-56.7714285714286	-47.8857142857143	-65.0285714285714	-51.5571428571429	-60.8428571428571	-51.7571428571429	-59.8285714285714	-58.6428571428571	-70.3428571428571	-62.3857142857143
2020/06/03	-34.4857142857143	-37.9571428571429	-54.6571428571429	-44.5857142857143	-62.9571428571429	-49.7571428571429	-59.9428571428571	-49.0428571428571	-58.0285714285714	-56.9428571428571	-69.1857142857143	-60.2428571428571
2020/06/04	-31.1142857142857	-35.1428571428571	-52.6428571428571	-41.0857142857143	-60.9857142857143	-48.0714285714286	-59.1857142857143	-46.7571428571429	-56.4	-55.1571428571429	-67.9571428571429	-58.4
2020/06/05	-28.2428571428571	-32.6714285714286	-50.7285714285714	-37.9571428571429	-59.1428571428571	-46.6	-58.0428571428571	-44.6285714285714	-54.9714285714286	-53.6285714285714	-66.4428571428571	-56.5571428571429
2020/06/06	-25.7	-30.7	-49.3857142857143	-35.1714285714286	-57.6285714285714	-45.2714285714286	-57.4	-42.7428571428571	-53.6857142857143	-52.4428571428571	-65.4571428571429	-55.0571428571429
2020/06/07	-23.8285714285714	-28.8571428571429	-47.3142857142857	-32.4857142857143	-56.3142857142857	-43.5714285714286	-57.2571428571429	-40.6	-53.2428571428571	-51.1857142857143	-64.5285714285714	-53.6571428571429
2020/06/08	-21.3857142857143	-26.8428571428571	-45.5285714285714	-29.7142857142857	-54.3285714285714	-42.0571428571429	-56.2714285714286	-38.5714285714286	-52.0857142857143	-50.5285714285714	-63.1571428571429	-52.2571428571429
2020/06/09	-20.3571428571429	-26.9	-45.0285714285714	-28.8857142857143	-54.1142857142857	-41.7	-57.1857142857143	-38.3142857142857	-52.1571428571429	-50.8428571428571	-63.2714285714286	-52.3142857142857
2020/06/10	-19.1142857142857	-26.5857142857143	-44.8571428571429	-28.0428571428571	-53.8428571428571	-41.2	-56.3428571428571	-37.9285714285714	-51.9	-50.7428571428571	-63.3428571428571	-52.0428571428571
2020/06/11	-19.0571428571429	-26.3285714285714	-44.7	-27.8	-53.5571428571429	-40.6428571428571	-55.8285714285714	-37.2142857142857	-51.6285714285714	-50.5285714285714	-62.8714285714286	-51.7285714285714
2020/06/12	-19.1571428571429	-26.0714285714286	-44.4428571428571	-27.7	-53.2714285714286	-40.2	-55.1	-37.0428571428571	-51.3428571428571	-50.3714285714286	-62.6714285714286	-51.3571428571429
2020/06/13	-19.1428571428571	-26.0714285714286	-44.1428571428572	-27.3285714285714	-52.8714285714286	-39.9571428571429	-54.4714285714286	-36.7428571428571	-51.1714285714286	-50.2714285714286	-62.7571428571429	-51.1285714285714
2020/06/14	-18.8857142857143	-26.0571428571429	-44.1285714285714	-27.1285714285714	-52.4571428571429	-39.7	-53.4571428571429	-36.7857142857143	-50.7285714285714	-50.3428571428571	-62.7714285714286	-50.5
2020/06/15	-18.6142857142857	-25.7	-43.5714285714286	-26.5428571428571	-52.4571428571429	-39.6	-53.3	-35.9857142857143	-50.5571428571429	-49.8571428571429	-61.8428571428571	-49.8
2020/06/16	-17.8	-25.2857142857143	-43.4142857142857	-26.0571428571429	-52.1428571428571	-39.3571428571429	-52.5428571428572	-35.4714285714286	-50.1857142857143	-49.2571428571429	-61.6571428571429	-49.4285714285714
2020/06/17	-17.2285714285714	-25.2571428571429	-42.9571428571429	-25.5285714285714	-51.5428571428571	-39	-52.7	-34.7857142857143	-49.8714285714286	-49.0285714285714	-60.9714285714286	-49.1571428571429
2020/06/18	-16.9428571428571	-24.6285714285714	-42.5	-24.7714285714286	-51.0285714285714	-38.5714285714286	-52.2142857142857	-34.2857142857143	-49.4857142857143	-48.7285714285714	-61.2	-48.6571428571429
2020/06/19	-16.1428571428571	-24.0571428571429	-42	-24.1142857142857	-50.3857142857143	-38.1857142857143	-52.2	-33.4428571428571	-49	-48.2571428571429	-61.4	-48.2571428571429
2020/06/20	-15.9	-23.4857142857143	-41.6	-23.8857142857143	-50.1857142857143	-37.8	-51.3428571428571	-33.3857142857143	-48.7	-48.0285714285714	-60.0857142857143	-47.7857142857143
2020/06/21	-14.7571428571429	-21.2428571428571	-39.6571428571429	-22.4714285714286	-48.2428571428571	-36.0285714285714	-50.2	-31.6285714285714	-47.6714285714286	-46.6857142857143	-59.2285714285714	-46.7285714285714
2020/06/22	-14.2857142857143	-20.3714285714286	-38.8428571428571	-22.1142857142857	-47.4	-35.7	-48.9714285714286	-31.0142857142857	-47.1714285714286	-46.2857142857143	-59.0571428571429	-46.1428571428571
2020/06/23	-14.9142857142857	-20.2428571428571	-38.7	-22.3857142857143	-47.3857142857143	-35.3571428571429	-47.7428571428571	-31.2857142857143	-46.9142857142857	-46.1285714285714	-58.1142857142857	-45.7857142857143
2020/06/24	-14.8714285714286	-19.9428571428571	-38.5285714285714	-22.1428571428571	-47.1285714285714	-35	-46.6857142857143	-31.1142857142857	-46.6285714285714	-45.7142857142857	-57.4714285714286	-45.3285714285714
2020/06/25	-14.6428571428571	-19.7714285714286	-38.0857142857143	-22.0857142857143	-46.9142857142857	-34.6714285714286	-45.7	-30.8142857142857	-46.4	-45.4428571428571	-57.0142857142857	-45.0285714285714
2020/06/26	-14.2285714285714	-19.5571428571429	-37.8571428571429	-21.9142857142857	-46.5285714285714	-34.3142857142857	-44.8285714285714	-30.7142857142857	-46.2571428571429	-45.0285714285714	-56.1285714285714	-44.5857142857143
2020/06/27	-13.3857142857143	-18.9285714285714	-37.5142857142857	-21.0714285714286	-45.9	-33.7714285714286	-43.8285714285714	-29.6857142857143	-45.7285714285714	-44.5857142857143	-56.3142857142857	-43.9714285714286
2020/06/28	-13.2	-19.2428571428571	-37.3285714285714	-21.0714285714286	-45.5714285714286	-34.0857142857143	-44.6142857142857	-29.2428571428571	-45.0285714285714	-43.9857142857143	-56.1	-43.7
2020/06/29	-13.3142857142857	-19.5	-37.5285714285714	-21.2	-45.0428571428571	-33.5428571428571	-44.5857142857143	-29.0571428571429	-44.5571428571429	-43.3428571428571	-56.2285714285714	-43.4857142857143
2020/06/30	-12.9714285714286	-18.6	-37.0571428571429	-20.3428571428571	-44.3285714285714	-33.2285714285714	-44.6571428571429	-28.2142857142857	-44.2857142857143	-42.9142857142857	-56.0857142857143	-43.0571428571429
2020/07/01	-12.9571428571429	-18.1714285714286	-36.6428571428571	-20.3428571428571	-43.9571428571429	-32.8571428571429	-44.0285714285714	-28.5	-43.8428571428571	-42.5714285714286	-56.2857142857143	-42.6714285714286
2020/07/02	-13.5	-17.8857142857143	-36.3428571428571	-20.3571428571429	-43.3714285714286	-32.3142857142857	-42.7571428571429	-28.5142857142857	-43.2	-41.4714285714286	-55.5857142857143	-42.1142857142857
2020/07/03	-13.5571428571429	-17.3857142857143	-36.0428571428571	-20.0571428571429	-43.0857142857143	-31.9285714285714	-41.0428571428571	-27.9714285714286	-42.6714285714286	-40.7285714285714	-55.8714285714286	-41.7857142857143
2020/07/04	-14.2714285714286	-17.4	-35.7714285714286	-20.7571428571429	-42.7714285714286	-31.5142857142857	-40.7142857142857	-28.2857142857143	-42.3285714285714	-40.0142857142857	-55.5428571428571	-41.7
2020/07/05	-14.4571428571429	-17.8	-36.5857142857143	-22.0285714285714	-43.3571428571429	-31.2142857142857	-39.0571428571429	-29.3285714285714	-42.8142857142857	-40.2714285714286	-55.4571428571429	-42.1714285714286
2020/07/06	-14.3571428571429	-18.0142857142857	-36.8	-22.7285714285714	-43.7571428571429	-30.9714285714286	-38.4285714285714	-29.7571428571429	-42.9428571428571	-40.5428571428571	-55.5285714285714	-42.5571428571429
2020/07/07	-14.6571428571429	-18.5857142857143	-36.8142857142857	-23.6142857142857	-43.7571428571429	-30.6428571428571	-37.8857142857143	-30.2428571428571	-42.6571428571429	-40.4285714285714	-55.2285714285714	-42.4142857142857
