# 感染拡大前比	神奈川県 横浜中華街駅	神奈川県 川崎駅	神奈川県 横浜駅	千葉県 千葉駅	神奈川県 みなとみらい	東京都 銀座	神奈川県 橋本駅	東京都 丸の内	東京都 東京駅南	栃木県 宇都宮オリオン通り	東京都 羽田空港 第1ターミナル	東京都 霞が関	千葉県 船橋駅	東京都 立川駅	栃木県 宇都宮駅	埼玉県 大宮駅西	東京都 新宿駅	東京都 大手町	東京都 渋谷センター街	東京都 羽田空港 第2ターミナル	東京都 品川駅	東京都 東京駅
2020/05/01	-29.2	-50.5	-64.6	-56.0	-72.0	-64.7	-32.7	-75.7	-70.1	-36.0	-65.9	-64.1	-43.4	-48.1	-52.1	-58.7	-69.9	-72.9	-66.1	-72.2	-71.2	-73.2
2020/05/02	-54.9	-65.3	-76.1	-67.1	-82.2	-71.7	-49.3	-82.8	-80.5	-51.1	-72.1	-70.7	-52.9	-62.7	-60.0	-70.9	-79.9	-75.9	-77.7	-78.4	-69.4	-85.4
2020/05/03	-57.3	-68.5	-79.9	-72.3	-83.4	-79.3	-51.2	-85.7	-83.6	-58.1	-72.1	-72.7	-58.1	-66.5	-64.9	-75.5	-83.4	-85.7	-79.6	-78.5	-73.5	-87.4
2020/05/04	-56.9	-67.6	-79.0	-72.3	-81.2	-70.2	-54.1	-77.3	-79.2	-55.7	-68.3	-45.8	-59.4	-66.5	-62.2	-75.6	-82.7	-61.7	-79.4	-77.8	-63.2	-82.8
2020/05/05	-56.3	-68.7	-78.5	-71.5	-80.1	-70.6	-53.3	-77.0	-78.5	-57.1	-72.9	-46.5	-56.9	-66.6	-64.8	-76.3	-82.4	-58.3	-79.1	-79.1	-63.4	-82.8
2020/05/06	-58.3	-69.3	-78.8	-71.7	-83.8	-69.1	-49.5	-77.3	-77.3	-60.7	-70.7	-47.7	-60.1	-66.3	-65.4	-75.9	-82.3	-58.7	-79.2	-78.1	-63.2	-81.7
2020/05/07	-27.5	-46.7	-61.8	-50.5	-63.9	-54.5	-30.6	-72.2	-63.8	-29.3	-64.2	-58.6	-40.3	-46.7	-49.2	-55.9	-64.1	-68.2	-64.1	-73.0	-66.7	-70.0
2020/05/08	-26.4	-45.8	-61.3	-51.3	-66.0	-57.0	-26.6	-71.6	-66.0	-27.3	-63.2	-59.5	-38.6	-46.1	-44.9	-55.7	-64.6	-69.0	-64.3	-72.3	-67.8	-70.5
2020/05/09	-53.4	-59.6	-71.8	-63.4	-81.6	-64.5	-40.2	-82.2	-78.1	-43.0	-72.4	-71.4	-47.8	-57.6	-56.3	-67.4	-74.9	-73.3	-74.4	-78.1	-68.7	-83.1
2020/05/10	-54.9	-64.0	-76.7	-68.1	-83.7	-74.8	-45.3	-84.9	-82.6	-50.5	-70.8	-77.1	-54.4	-62.4	-61.0	-72.9	-79.1	-84.6	-77.9	-78.6	-73.8	-87.0
2020/05/11	-28.9	-47.7	-62.6	-52.8	-63.7	-57.0	-30.5	-71.9	-64.2	-30.0	-64.9	-57.3	-43.2	-49.1	-48.2	-57.0	-64.6	-67.0	-65.5	-73.2	-64.8	-70.1
2020/05/12	-27.4	-48.7	-63.2	-52.8	-66.8	-57.7	-33.0	-73.4	-67.0	-32.5	-64.2	-59.3	-44.5	-48.2	-47.8	-58.8	-66.1	-68.7	-65.1	-74.9	-66.9	-70.8
2020/05/13	-28.0	-46.7	-63.1	-54.5	-66.5	-57.7	-30.9	-72.6	-65.8	-30.8	-64.4	-58.0	-44.0	-48.5	-45.7	-59.6	-65.8	-68.9	-64.1	-73.2	-66.7	-71.1
2020/05/14	-25.9	-47.3	-62.8	-52.4	-67.1	-56.5	-30.9	-72.5	-64.8	-20.2	-65.6	-57.0	-43.3	-48.5	-42.3	-57.5	-65.0	-68.6	-63.7	-73.5	-66.0	-70.8
2020/05/15	-25.2	-44.7	-59.3	-49.9	-67.0	-55.2	-29.2	-72.0	-63.3	-18.9	-66.5	-56.5	-37.8	-45.3	-44.2	-53.9	-63.0	-67.4	-62.0	-73.2	-66.5	-69.1
2020/05/16	-55.8	-60.5	-73.2	-63.8	-83.4	-64.9	-42.6	-82.3	-78.4	-34.8	-73.4	-68.3	-51.8	-58.5	-47.4	-68.4	-74.5	-66.5	-72.9	-78.4	-67.5	-85.1
2020/05/17	-51.3	-60.9	-73.7	-65.1	-81.4	-70.9	-43.8	-82.7	-80.1	-39.1	-71.4	-69.1	-51.2	-59.3	-51.9	-70.2	-75.4	-82.9	-73.4	-78.2	-71.6	-87.3
