# 感染拡大前比	東京都 銀座	東京都 丸の内	東京都 東京駅南	東京都 羽田空港 第1ターミナル	東京都 霞が関	東京都 立川駅	東京都 新宿駅	東京都 大手町	東京都 渋谷センター街	東京都 羽田空港 第2ターミナル	東京都 品川駅	東京都 東京駅
2020/05/01	-64.7	-75.7	-70.1	-65.9	-64.1	-48.1	-69.9	-72.9	-66.1	-72.2	-71.2	-73.2
2020/05/02	-71.7	-82.8	-80.5	-72.1	-70.7	-62.7	-79.9	-75.9	-77.7	-78.4	-69.4	-85.4
2020/05/03	-79.3	-85.7	-83.6	-72.1	-72.7	-66.5	-83.4	-85.7	-79.6	-78.5	-73.5	-87.4
2020/05/04	-70.2	-77.3	-79.2	-68.3	-45.8	-66.5	-82.7	-61.7	-79.4	-77.8	-63.2	-82.8
2020/05/05	-70.6	-77.0	-78.5	-72.9	-46.5	-66.6	-82.4	-58.3	-79.1	-79.1	-63.4	-82.8
2020/05/06	-69.1	-77.3	-77.3	-70.7	-47.7	-66.3	-82.3	-58.7	-79.2	-78.1	-63.2	-81.7
2020/05/07	-54.5	-72.2	-63.8	-64.2	-58.6	-46.7	-64.1	-68.2	-64.1	-73.0	-66.7	-70.0
2020/05/08	-57.0	-71.6	-66.0	-63.2	-59.5	-46.1	-64.6	-69.0	-64.3	-72.3	-67.8	-70.5
2020/05/09	-64.5	-82.2	-78.1	-72.4	-71.4	-57.6	-74.9	-73.3	-74.4	-78.1	-68.7	-83.1
2020/05/10	-74.8	-84.9	-82.6	-70.8	-77.1	-62.4	-79.1	-84.6	-77.9	-78.6	-73.8	-87.0
2020/05/11	-57.0	-71.9	-64.2	-64.9	-57.3	-49.1	-64.6	-67.0	-65.5	-73.2	-64.8	-70.1
2020/05/12	-57.7	-73.4	-67.0	-64.2	-59.3	-48.2	-66.1	-68.7	-65.1	-74.9	-66.9	-70.8
2020/05/13	-57.7	-72.6	-65.8	-64.4	-58.0	-48.5	-65.8	-68.9	-64.1	-73.2	-66.7	-71.1
2020/05/14	-56.5	-72.5	-64.8	-65.6	-57.0	-48.5	-65.0	-68.6	-63.7	-73.5	-66.0	-70.8
2020/05/15	-55.2	-72.0	-63.3	-66.5	-56.5	-45.3	-63.0	-67.4	-62.0	-73.2	-66.5	-69.1
2020/05/16	-64.9	-82.3	-78.4	-73.4	-68.3	-58.5	-74.5	-66.5	-72.9	-78.4	-67.5	-85.1
2020/05/17	-70.9	-82.7	-80.1	-71.4	-69.1	-59.3	-75.4	-82.9	-73.4	-78.2	-71.6	-87.3
2020/05/18	-54.7	-71.6	-64.0	-66.5	-56.7	-46.1	-62.3	-68.5	-63.6	-73.4	-66.1	-69.4
2020/05/19	-57.1	-73.6	-64.9	-65.8	-57.2	-48.6	-64.1	-68.9	-64.2	-73.8	-66.5	-70.2
