# 感染拡大前比	京都府 四条河原町付近	鳥取県 晩稲	沖縄県 県庁前	茨城県 取手駅	北海道 札幌駅	宮崎県 新別府町	群馬県 前橋駅	神奈川県 横浜中華街駅	愛知県 栄駅	兵庫県 姫路駅	茨城県 水戸駅	神奈川県 横浜駅	愛媛県 松山市駅東側	広島県 広島駅	神奈川県 川崎駅	大阪府 堺東駅	佐賀県 佐賀駅	富山県 富山駅	千葉県 千葉駅	京都府 京都駅	茨城県 古河駅	山梨県 甲府駅南	滋賀県 草津駅西口	宮城県 仙台駅西	群馬県 高崎駅西	青森県 青森駅	山口県 山口駅	新潟県 新潟駅	長崎県 佐世保四ケ町	熊本県 通町筋	茨城県 つくば駅	広島県 紙屋町	岡山県 岡山表町	沖縄県 国際通り	千葉県 船橋駅	香川県 高松市フェリー通り	石川県 香林坊	岐阜県 岐阜駅	鹿児島県 天文館	三重県 津駅	福岡県 博多駅	徳島県 徳島駅	宮城県 青葉通一番町駅	秋田県 秋田駅	静岡県 静岡駅	東京都 立川駅	東京都 銀座	神奈川県 橋本駅	栃木県 宇都宮オリオン通り	長野県 長野駅	愛知県 名古屋駅	埼玉県 大宮駅西	高知県 はりまや橋	島根県 松江駅	福岡県 天神	福島県 福島駅	山形県 山形駅	福島県 郡山駅	兵庫県 三ノ宮駅	岡山県 岡山駅	大分県 大分駅付近	山口県 下関駅	静岡県 浜松駅	長崎県 浜町アーケード	東京都 東京駅南	東京都 新宿駅	福岡県 福岡空港	栃木県 宇都宮駅	岩手県 盛岡駅北	奈良県 近鉄奈良駅	長崎県 長崎駅	新潟県 長岡駅	神奈川県 みなとみらい	東京都 丸の内	和歌山県 和歌山駅	大阪府 難波	北海道 旭川駅	福岡県 小倉駅	大阪府 梅田	東京都 霞が関	東京都 羽田空港 第1ターミナル	福井県 福井駅	岡山県 倉敷駅	東京都 渋谷センター街	北海道 すすきの	大阪府 伊丹空港	香川県 高松駅	石川県 金沢駅	北海道 新千歳空港	三重県 近鉄四日市駅	沖縄県 那覇空港	東京都 大手町	東京都 品川駅	東京都 羽田空港 第2ターミナル	東京都 東京駅
2020/05/08	-55.5142857142857	-47.9571428571429	-31.4	-3.7	-69.9285714285714	-67.1142857142857	-18.7142857142857	-48.6285714285714	-66.1428571428571	-66.9142857142857	-56.5	-74.1	-51.4	-43.8	-62.3714285714286	-27.0571428571429	-29.7857142857143	-53.6428571428571	-65.9142857142857	-74.6714285714286	-12.4714285714286	-26.5857142857143	-39.0714285714286	-62.9	-60.9857142857143	-38.9285714285714	-37.8	-53.1857142857143	-36.8571428571429	-56.5142857142857	-32.5285714285714	-65.2142857142857	-39.3285714285714	-32.1428571428571	-53.0142857142857	-48.5857142857143	-68.0571428571428	-52.8142857142857	-46.4714285714286	-50.0142857142857	-72.4857142857143	-49	-57	-47.6857142857143	-59.1428571428572	-60.4857142857143	-68.5857142857143	-45.8142857142857	-49.7142857142857	-66.3428571428571	-75	-69.8285714285714	-52.8714285714286	-37.3857142857143	-71.3857142857143	-46.5571428571429	-48.2	-51.1857142857143	-65.5142857142857	-61.4571428571429	-55.9428571428571	-47.8857142857143	-58.8571428571429	-50.1428571428571	-76.1428571428571	-77.8142857142857	-61.7571428571429	-59.8	-56.8714285714286	-43.1285714285714	-62.5428571428571	-49.8428571428571	-78.0857142857143	-78.2857142857143	-54.2714285714286	-70.7285714285714	-63.8714285714286	-68.5857142857143	-83.1428571428571	-58.0142857142857	-69.4571428571428	-65.1571428571429	-73.9571428571429	-75.0285714285714	-64.3571428571428	-61.1714285714286	-61.8285714285714	-72.3857142857143	-73.8714285714286	-48.3857142857143	-68.9857142857143	-68.7714285714286	-67.2285714285714	-76.7285714285714	-80.4714285714286
2020/05/09	-54.8571428571429	-46.0714285714286	-31.0142857142857	-3.51428571428571	-69.4	-66.2857142857143	-18.4	-48.2285714285714	-65	-66.7428571428571	-55.1142857142857	-73.6285714285714	-50.5857142857143	-43.1857142857143	-61.7	-27.0142857142857	-29.0285714285714	-51.6428571428571	-65.2428571428571	-74.4714285714286	-12.9428571428571	-25.1	-38.8428571428571	-61.3428571428571	-60.6	-37.0714285714286	-37.8142857142857	-52.0857142857143	-36.1714285714286	-55.7714285714286	-32.5428571428572	-63.9	-38.2571428571429	-31.7285714285714	-52.3285714285714	-48.1714285714286	-67.4857142857143	-52.2428571428571	-45.2714285714286	-49.0857142857143	-71.7428571428571	-48	-55.4857142857143	-46.3142857142857	-58.4714285714286	-60.2	-67.4857142857143	-44.9428571428571	-48.4714285714286	-65.7571428571429	-74.2	-69.4	-51.2857142857143	-37	-70.5857142857143	-45.8428571428571	-48.0285714285714	-50.0142857142857	-64.9571428571428	-60.7571428571429	-55.2285714285714	-47.8571428571429	-57.7428571428571	-48.3714285714286	-75.5571428571429	-77.0571428571428	-61.7857142857143	-58.7714285714286	-55.6142857142857	-43.3285714285714	-61.6571428571428	-49.2857142857143	-77.2285714285714	-77.7	-54.0285714285714	-70.4714285714286	-63.3857142857143	-68.0428571428571	-82.7	-57.3571428571429	-69.0714285714286	-63.6142857142857	-72.8428571428571	-74.7714285714286	-63.9285714285714	-60.5428571428571	-60.7285714285714	-72.0142857142857	-73.4428571428572	-48	-67.0857142857143	-68.2142857142857	-66.7428571428571	-76.7428571428571	-80.0857142857143
2020/05/10	-53.9714285714286	-44.9571428571429	-31.3714285714286	-4.51428571428571	-69	-65.8857142857143	-16.8428571428571	-48.0142857142857	-64.0428571428571	-66.4142857142857	-54.3571428571429	-73.0142857142857	-49.1714285714286	-42.4714285714286	-60.8857142857143	-26.5142857142857	-27.5142857142857	-50.3571428571429	-64.7142857142857	-74.1	-12.8428571428571	-24.8428571428571	-37.9571428571429	-59.8	-60.0142857142857	-34.9285714285714	-37.3571428571429	-51.2285714285714	-35.6857142857143	-53.8	-31.7428571428571	-63.0142857142857	-37.4714285714286	-31.2285714285714	-51.6	-46.8571428571429	-67.4714285714286	-51.1428571428571	-43.3428571428571	-47.9714285714286	-71.4714285714286	-46.7571428571429	-53.4	-44.3857142857143	-57.6285714285714	-59.4714285714286	-66.4571428571429	-43.6428571428571	-47.3142857142857	-65.2714285714286	-73.6	-68.9	-50.0285714285714	-36.5714285714286	-70.3285714285714	-44.6714285714286	-47.9428571428571	-48.3	-64.5	-60.2714285714286	-53.1857142857143	-48.5571428571429	-57.3142857142857	-46.2142857142857	-75.2142857142857	-76.3428571428571	-61.5571428571429	-58.2428571428571	-54.7	-42.4285714285714	-61.2285714285714	-48.5	-77.1428571428571	-77.6142857142857	-53.6142857142857	-70.0714285714286	-62.7714285714286	-67.8285714285714	-82.4285714285714	-57.4571428571429	-69.1142857142857	-62.9714285714286	-72.4428571428571	-74.3	-63.0428571428571	-59.9428571428571	-59.6	-71.8142857142857	-72.9857142857143	-47.7142857142857	-67.0857142857143	-67.8428571428571	-66.6428571428571	-76.7	-79.7571428571429
2020/05/11	-53.3857142857143	-44.2428571428571	-31.5428571428571	-4.75714285714286	-68.8428571428571	-64.8	-16.3714285714286	-47.6714285714286	-63.7142857142857	-66.0285714285714	-53.8857142857143	-72.5571428571429	-48.7	-42.2571428571429	-60.2428571428571	-26.1428571428571	-26.1857142857143	-49.7	-64.1142857142857	-74.1428571428571	-11.4714285714286	-23.7428571428571	-37.0714285714286	-58.4571428571429	-59.2571428571429	-33.5	-35.2	-50.2857142857143	-34.1142857142857	-52.0142857142857	-32.0142857142857	-62.1428571428571	-36.5428571428571	-31.4428571428571	-51.0714285714286	-46.2	-67.2	-50.6285714285714	-41.6142857142857	-47.0142857142857	-71.1571428571429	-45.8285714285714	-51.8714285714286	-43.1714285714286	-56.9571428571429	-58.8857142857143	-65.8142857142857	-42.8	-46.2285714285714	-64.3428571428572	-73.2142857142857	-68.5285714285714	-48.7714285714286	-35.8857142857143	-69.6857142857143	-44.3285714285714	-47.4428571428571	-46.9428571428571	-64.1	-59.7571428571429	-51.2	-48.1857142857143	-56.3857142857143	-43.9571428571429	-75.0714285714286	-75.7285714285714	-61.0428571428571	-57.6857142857143	-53.2428571428571	-42.7142857142857	-60.7	-47.5285714285714	-77.1857142857143	-77.5	-53.1714285714286	-69.8285714285714	-61.9	-67.1	-82.2142857142857	-58.0857142857143	-68.9285714285714	-61.9714285714286	-71.4857142857143	-74.0571428571428	-62.6857142857143	-59.7714285714286	-58.9571428571429	-71.5	-72.3714285714286	-47.2428571428571	-67.2571428571429	-67.6857142857143	-66.6857142857143	-76.7142857142857	-79.7
2020/05/12	-50.6142857142857	-39.0142857142857	-30.1285714285714	-5.85714285714286	-65.9285714285714	-60.5	-13.6428571428571	-43.6714285714286	-59.6	-62.4428571428571	-50.6714285714286	-70.2142857142857	-44.6	-39.2428571428571	-57.4	-25.1571428571429	-23.8571428571429	-46.7428571428571	-61.3285714285714	-71.9285714285714	-11.6428571428571	-24.1571428571429	-34.8714285714286	-53.2428571428571	-55.3857142857143	-29.5571428571429	-30.9142857142857	-47.1428571428571	-31.4285714285714	-46	-29.8428571428571	-57.6142857142857	-31.5	-30.4857142857143	-48.7571428571429	-43.8571428571429	-64.7714285714286	-48.1142857142857	-36.7857142857143	-45.4285714285714	-67.8142857142857	-40.9	-46.5	-38.8714285714286	-52.0571428571429	-56.4	-63.9285714285714	-39.4285714285714	-42.5571428571429	-60.1714285714286	-70.1142857142857	-65.8714285714286	-43.4	-34.0571428571429	-66.1857142857143	-41.5571428571429	-44.7	-42.8285714285714	-61.0285714285714	-55.6428571428571	-46.6	-44.7571428571429	-51.8142857142857	-38.7857142857143	-72.9285714285714	-73.1428571428571	-58.7428571428571	-55.6857142857143	-48.8714285714286	-40.6285714285714	-56.3571428571429	-42.6285714285714	-74.6857142857143	-76.7285714285714	-50.4142857142857	-67.7142857142857	-58.4428571428571	-63.6571428571429	-79.5571428571428	-59.7285714285714	-68.4428571428572	-57.5714285714286	-68	-72.0714285714286	-59.2714285714286	-58.8428571428571	-56.9714285714286	-69.1	-71.4571428571428	-46.4857142857143	-66.8428571428571	-68.4428571428572	-66.9142857142857	-76.0571428571429	-77.8857142857143
2020/05/13	-47.7571428571429	-34.4285714285714	-29.1285714285714	-6.74285714285714	-63.1428571428571	-56.3428571428571	-10.8571428571429	-39.5428571428571	-55.7857142857143	-58.7	-47.6285714285714	-68.0285714285714	-39.0857142857143	-36.5	-54.5428571428571	-24.5285714285714	-21.1571428571429	-43.2714285714286	-58.6571428571429	-70.0142857142857	-10.8428571428571	-23.5142857142857	-32.9714285714286	-48.2714285714286	-51.5142857142857	-25.3	-26.1285714285714	-44.4142857142857	-28.1142857142857	-40.5285714285714	-28.4	-53.1428571428571	-26.5142857142857	-29.4	-46.9857142857143	-40.9857142857143	-62.1571428571429	-45.6285714285714	-32.1428571428571	-43.6142857142857	-64.7714285714286	-36.1857142857143	-41.2714285714286	-34.3285714285714	-47.2571428571429	-53.7714285714286	-62.0857142857143	-36.5285714285714	-39.0428571428571	-57	-67.2142857142857	-63.3714285714286	-37.8	-32.8142857142857	-62.8	-40.1428571428571	-41.8	-38.3857142857143	-58.2	-51.8428571428571	-42.0428571428571	-42.1285714285714	-47.3714285714286	-33.2571428571429	-71.2857142857143	-70.8142857142857	-57.8857142857143	-53.2571428571429	-44.6	-39.1285714285714	-51.9428571428571	-37.7	-72.7857142857143	-76.2142857142857	-47.4857142857143	-65.7142857142857	-54.7	-60.7428571428571	-77.1428571428571	-61.5571428571429	-67.2	-54.4571428571429	-64.1	-70.0714285714286	-56.0285714285714	-58.3142857142857	-54.5285714285714	-66.4142857142857	-71.2714285714286	-45.3	-65.8857142857143	-69.9285714285714	-67.4142857142857	-75.4571428571429	-76.1714285714286
2020/05/14	-44.4571428571429	-27.5714285714286	-27.9142857142857	-7.17142857142857	-60.4	-47.6285714285714	-10.8	-35.2142857142857	-52.0142857142857	-54.7571428571429	-45.8142857142857	-65.7857142857143	-33.8857142857143	-33.7857142857143	-51.3142857142857	-23.6571428571429	-19.7571428571429	-40.2714285714286	-56.2	-67.9142857142857	-9.1	-22.5571428571429	-30.2142857142857	-43.2857142857143	-48.1428571428571	-20.8571428571429	-22.5857142857143	-41.7714285714286	-25.3857142857143	-34.9	-25.7142857142857	-48.7285714285714	-22.1428571428571	-27.6714285714286	-44.6857142857143	-38.1285714285714	-59.5571428571429	-43.2857142857143	-27.8857142857143	-42.3142857142857	-61.8857142857143	-31.5428571428571	-36.4	-30.3714285714286	-42.7142857142857	-51.2285714285714	-60.4571428571429	-33.8714285714286	-34.7714285714286	-53.3142857142857	-64.4857142857143	-61.0428571428571	-32.9714285714286	-31.7857142857143	-59.6428571428571	-38.2	-38.6428571428571	-34.5	-55.4571428571429	-47.9428571428571	-38.0714285714286	-40.5571428571429	-43.2285714285714	-28.3571428571429	-69.6428571428571	-68.4571428571429	-56.5857142857143	-50.4428571428571	-40.6428571428571	-37.4142857142857	-46.2285714285714	-32.5428571428571	-70.3142857142857	-75.5428571428571	-44.5714285714286	-63.7285714285714	-51.7714285714286	-58.2571428571429	-74.5857142857143	-63.0285714285714	-66.3	-51.2285714285714	-59.7428571428571	-67.9142857142857	-52.9857142857143	-57.3714285714286	-52.9857142857143	-64.5	-70.4714285714286	-44.0285714285714	-65.4857142857143	-71.3857142857143	-67.9142857142857	-74.7571428571429	-74.6571428571429
2020/05/15	-44.2714285714286	-26.7285714285714	-27.0428571428571	-7.35714285714286	-60.4571428571429	-42.9571428571429	-9.84285714285714	-34.9857142857143	-52.0428571428571	-54.3	-45.7428571428571	-65.9285714285714	-32.1285714285714	-33.9714285714286	-51.4	-23.5428571428571	-19.4285714285714	-40.8571428571429	-56.4714285714286	-67.9857142857143	-9.05714285714286	-22.6285714285714	-30.2714285714286	-42.1857142857143	-47.9571428571429	-20.6142857142857	-22.6857142857143	-41.6285714285714	-24.5428571428571	-35.2	-25.3428571428571	-48.7	-21.8	-27.4714285714286	-45.1142857142857	-37.2571428571429	-59.7714285714286	-43.4428571428571	-27.6285714285714	-42.0142857142857	-61.9142857142857	-31.6428571428571	-35.4428571428571	-29.2571428571429	-41.4571428571429	-51.4857142857143	-60.7428571428571	-33.9142857142857	-33.4714285714286	-53.3	-64.5428571428571	-61.2714285714286	-31.8714285714286	-32.0428571428571	-59.9285714285714	-37.8857142857143	-36.4571428571429	-34.7142857142857	-56.0714285714286	-47	-37.9714285714286	-40.2714285714286	-41.7857142857143	-28.4142857142857	-69.7857142857143	-68.5857142857143	-56.7571428571429	-49.4571428571429	-40.1142857142857	-37.6142857142857	-43.8428571428571	-33.0571428571429	-70.7714285714286	-75.5857142857143	-44.8285714285714	-63.8428571428571	-51.7	-57.8285714285714	-74.5142857142857	-62.8	-66.5	-50.9571428571429	-56.5571428571429	-67.8571428571429	-52.9	-57.3714285714286	-51.8857142857143	-64.5571428571429	-70.7285714285714	-44.1714285714286	-65.6857142857143	-71.4428571428572	-67.8142857142857	-74.8285714285714	-74.7714285714286
2020/05/16	-44.0428571428571	-24.3	-24.4	-7.98571428571429	-60.3	-37.9285714285714	-9.6	-34.8142857142857	-51.7571428571429	-52.9714285714286	-45.9	-65.6428571428572	-30.5571428571429	-33.5285714285714	-51.2428571428571	-23.8142857142857	-18.8285714285714	-40.8714285714286	-56.2714285714286	-67.8	-8.57142857142857	-22.9428571428571	-28.9428571428571	-40.5	-46.7285714285714	-20.1285714285714	-22.8142857142857	-41.2285714285714	-24.4285714285714	-34.6428571428571	-25.2428571428571	-48.4714285714286	-21.1571428571429	-26.4	-45	-36.1285714285714	-59.6428571428571	-43.1428571428571	-27.1285714285714	-42.1	-61.7571428571429	-31.0571428571429	-34.0285714285714	-27.6428571428571	-39.9428571428571	-51.3714285714286	-60.4857142857143	-34.2857142857143	-32.2714285714286	-53.0285714285714	-64.1714285714286	-61.0142857142857	-30.1714285714286	-31.6714285714286	-59.7285714285714	-36.5714285714286	-34.3857142857143	-34.1857142857143	-55.6714285714286	-45.8857142857143	-37.4	-39.2142857142857	-40.7142857142857	-28.2714285714286	-69.4	-68.3571428571429	-56.3571428571429	-49.3571428571429	-38.6	-36.6714285714286	-42.0142857142857	-32.6571428571429	-70.9142857142857	-75.6428571428571	-44.3285714285714	-63.7857142857143	-51.0714285714286	-57.5	-74.3142857142857	-62.3714285714286	-66.9714285714286	-51.2285714285714	-53.7142857142857	-67.5285714285714	-52.1857142857143	-57.3571428571429	-51.2571428571429	-64.1428571428571	-71.4714285714286	-43.0142857142857	-66.7	-71.2142857142857	-67.6285714285714	-74.9571428571428	-74.5714285714286
2020/05/17	-44.3	-20.6428571428571	-21.6857142857143	-6.52857142857143	-60.2571428571429	-32.1	-10.1714285714286	-35.1571428571429	-51.0142857142857	-50.9571428571429	-45.5142857142857	-65.8428571428571	-29.0428571428571	-33.3285714285714	-51.3714285714286	-23.4857142857143	-18.3	-40.3	-56.3285714285714	-67.4714285714286	-8.47142857142857	-23.5	-29.0428571428571	-38.4142857142857	-43.5857142857143	-19.5428571428571	-22.1714285714286	-40.7714285714286	-23.0428571428571	-33.9285714285714	-25.3142857142857	-47.5857142857143	-19.9	-25.2571428571429	-45.5714285714286	-35.7428571428571	-58.7	-42.3714285714286	-26.7142857142857	-42.1	-61.2142857142857	-29.4285714285714	-33.3571428571429	-25.6142857142857	-38.5142857142857	-51.5	-60.5428571428571	-34.6285714285714	-31.1	-52.6857142857143	-63.8714285714286	-61.1571428571428	-28.7285714285714	-31.8142857142857	-58.0857142857143	-35.6285714285714	-32.4428571428571	-33.3571428571429	-55.2857142857143	-44	-36.9714285714286	-37.6285714285714	-39.0714285714286	-27.3142857142857	-69.4428571428572	-68.3	-55.9857142857143	-48.0857142857143	-36.8714285714286	-36.8142857142857	-39.4571428571429	-31.2714285714286	-71.1714285714286	-75.6571428571429	-43.3428571428571	-63.5285714285714	-49.6428571428572	-56.4428571428571	-73.9142857142857	-61.9285714285714	-67.1142857142857	-50.5142857142857	-50.9142857142857	-67.3142857142857	-51.4	-56.7857142857143	-51.3857142857143	-63.9714285714286	-71.0857142857143	-41.3714285714286	-67.4428571428571	-70.2428571428571	-67.4571428571429	-75	-74.8571428571429
