# 感染拡大前比	average
2020/05/08	-34.8563079777365
2020/05/09	-34.4144712430427
2020/05/10	-33.9850649350649
2020/05/11	-33.5936920222635
2020/05/12	-31.8460111317254
2020/05/13	-30.1514842300557
2020/05/14	-28.4555658627087
2020/05/15	-28.2774582560297
2020/05/16	-27.9228200371058
2020/05/17	-27.4557513914657
2020/05/18	-26.8546382189239
2020/05/19	-26.4723562152134
2020/05/20	-25.9768089053803
2020/05/21	-25.3603896103896
2020/05/22	-24.7763450834879
2020/05/23	-24.2229128014842
2020/05/24	-23.497680890538
2020/05/25	-22.911038961039
2020/05/26	-22.354452690167
2020/05/27	-21.8454545454545
2020/05/28	-21.3989795918367
2020/05/29	-20.9748608534323
2020/05/30	-20.4619666048238
2020/05/31	-19.7823747680891
2020/06/01	-19.2050092764378
2020/06/02	-18.4595547309833
2020/06/03	-17.8029684601113
2020/06/04	-17.2182745825603
2020/06/05	-16.6313543599258
2020/06/06	-16.1043599257885
2020/06/07	-15.4770871985158
2020/06/08	-14.8098330241187
2020/06/09	-14.7494434137291
2020/06/10	-14.5452690166976
2020/06/11	-14.341280148423
2020/06/12	-14.2484230055659
2020/06/13	-14.0581632653061
2020/06/14	-13.811038961039
2020/06/15	-13.5060296846011
2020/06/16	-13.2785714285714
2020/06/17	-13.080241187384
2020/06/18	-12.8165120593692
2020/06/19	-12.5755102040816
2020/06/20	-12.4722634508349
2020/06/21	-11.8847866419295
2020/06/22	-11.5196660482375
2020/06/23	-11.4554730983302
2020/06/24	-11.3858070500928
2020/06/25	-11.2986085343228
2020/06/26	-11.1467532467532
2020/06/27	-10.8630797773655
2020/06/28	-10.7719851576994
2020/06/29	-10.5956400742115
2020/06/30	-10.3624304267161
2020/07/01	-10.202133580705
2020/07/02	-10.0505565862709
2020/07/03	-9.87207792207792
2020/07/04	-9.88098330241188
2020/07/05	-10.0987940630798
2020/07/06	-10.219573283859
2020/07/07	-10.3999072356215
2020/07/08	-10.60853432282
2020/07/09	-10.7275510204082
2020/07/10	-10.8192022263451
2020/07/11	-10.8179035250464
2020/07/12	-10.7595547309833
2020/07/13	-10.6571428571429
2020/07/14	-10.5141929499072
2020/07/15	-10.3787569573284
2020/07/16	-10.1369202226345
2020/07/17	-9.98664192949907
2020/07/18	-9.91419294990724
2020/07/19	-10.0080705009276
2020/07/20	-10.1753246753247
2020/07/21	-10.1794063079777
2020/07/22	-10.0807977736549
2020/07/23	-10.0833024118738
2020/07/24	-10.7400742115028
2020/07/25	-11.6397031539889
2020/07/26	-11.871892393321
2020/07/27	-11.9850649350649
2020/07/28	-12.021706864564
2020/07/29	-12.137012987013
2020/07/30	-12.4440630797774
2020/07/31	-11.9643784786642
2020/08/01	-11.2144712430427
2020/08/02	-11.4450834879406
2020/08/03	-11.8519480519481
2020/08/04	-11.8879406307978
2020/08/05	-11.8517625231911
2020/08/06	-11.8041743970315
2020/08/07	-11.7705009276438
2020/08/08	-11.7093692022264
2020/08/09	-11.5471243042672
2020/08/10	-11.2860853432282
2020/08/11	-12.2920222634508
2020/08/12	-12.3177179962894
2020/08/13	-12.4529684601113
2020/08/14	-13.0719851576994
2020/08/15	-13.7487012987013
2020/08/16	-14.360667903525
2020/08/17	-14.6961966604824
2020/08/18	-13.7047309833024
2020/08/19	-13.6395176252319
2020/08/20	-13.484693877551
2020/08/21	-12.8471243042672
2020/08/22	-12.2076066790352
2020/08/23	-11.5317254174397
2020/08/24	-11.2104823747681
2020/08/25	-11.1376623376623
2020/08/26	-11.0707792207792
2020/08/27	-10.9818181818182
2020/08/28	-11.0309833024119
2020/08/29	-10.9730055658627
2020/08/30	-10.8791280148423
2020/08/31	-10.6887755102041
2020/09/01	-10.6724489795918
2020/09/02	-10.8305194805195
2020/09/03	-11.0669758812616
2020/09/04	-11.1202226345083
2020/09/05	-11.2079777365492
2020/09/06	-11.1885899814471
2020/09/07	-11.6535250463822
2020/09/08	-12.4300556586271
2020/09/09	-12.2555658627087
2020/09/10	-11.9867346938776
2020/09/11	-11.7184601113173
2020/09/12	-11.5428571428571
2020/09/13	-11.293599257885
2020/09/14	-10.2605751391466
2020/09/15	-9.35890538033395
2020/09/16	-9.21456400742115
2020/09/17	-9.05909090909091
2020/09/18	-9.01410018552876
2020/09/19	-8.8334879406308
2020/09/20	-8.37736549165121
2020/09/21	-7.84090909090909
2020/09/22	-7.69053803339518
2020/09/23	-8.03905380333952
2020/09/24	-8.07384044526902
2020/09/25	-8.30556586270872
2020/09/26	-8.47532467532467
2020/09/27	-8.74090909090909
2020/09/28	-9.34489795918367
2020/09/29	-9.31066790352505
2020/09/30	-8.90992578849722
2020/10/01	-8.72792207792208
