# 感染拡大前比	average
2020/05/08	-5.56502782931354
2020/05/09	-5.52588126159555
2020/05/10	-5.49944341372913
2020/05/11	-5.4860853432282
2020/05/12	-5.4069573283859
2020/05/13	-5.33747680890538
2020/05/14	-5.26808905380334
2020/05/15	-5.27402597402597
2020/05/16	-5.26298701298701
2020/05/17	-5.25556586270872
2020/05/18	-5.2265306122449
2020/05/19	-5.22031539888683
2020/05/20	-5.21345083487941
2020/05/21	-5.18896103896104
2020/05/22	-5.17124304267161
2020/05/23	-5.14842300556586
2020/05/24	-5.10371057513915
2020/05/25	-5.09007421150278
2020/05/26	-5.05936920222634
2020/05/27	-5.00194805194805
2020/05/28	-4.94248608534323
2020/05/29	-4.86855287569573
2020/05/30	-4.77541743970315
2020/05/31	-4.62820037105751
2020/06/01	-4.49972170686456
2020/06/02	-4.3043599257885
2020/06/03	-4.14146567717996
2020/06/04	-3.97987012987013
2020/06/05	-3.82866419294991
2020/06/06	-3.70547309833024
2020/06/07	-3.58988868274583
2020/06/08	-3.45927643784787
2020/06/09	-3.44851576994434
2020/06/10	-3.4152133580705
2020/06/11	-3.38886827458256
2020/06/12	-3.36836734693878
2020/06/13	-3.35102040816327
2020/06/14	-3.33079777365492
2020/06/15	-3.29758812615955
2020/06/16	-3.26363636363636
2020/06/17	-3.23395176252319
2020/06/18	-3.20139146567718
2020/06/19	-3.1652133580705
2020/06/20	-3.13107606679035
2020/06/21	-3.0165120593692
2020/06/22	-2.96985157699443
2020/06/23	-2.95426716141002
2020/06/24	-2.92569573283859
2020/06/25	-2.89981447124304
2020/06/26	-2.86975881261596
2020/06/27	-2.82263450834879
2020/06/28	-2.81280148423006
2020/06/29	-2.80120593692022
2020/06/30	-2.76456400742115
2020/07/01	-2.7456400742115
2020/07/02	-2.71048237476809
2020/07/03	-2.67615955473098
2020/07/04	-2.66929499072356
2020/07/05	-2.69183673469388
2020/07/06	-2.70380333951763
2020/07/07	-2.70732838589981
2020/07/08	-2.69656771799629
2020/07/09	-2.72337662337662
2020/07/10	-2.74489795918367
2020/07/11	-2.74944341372913
2020/07/12	-2.75361781076067
2020/07/13	-2.73534322820037
2020/07/14	-2.72820037105751
2020/07/15	-2.74795918367347
2020/07/16	-2.7399814471243
2020/07/17	-2.73423005565863
2020/07/18	-2.75426716141002
2020/07/19	-2.7948051948052
2020/07/20	-2.80974025974026
2020/07/21	-2.81215213358071
2020/07/22	-2.79387755102041
2020/07/23	-2.76382189239332
2020/07/24	-2.74768089053803
2020/07/25	-2.73756957328386
2020/07/26	-2.75649350649351
2020/07/27	-2.75111317254174
2020/07/28	-2.75278293135436
2020/07/29	-2.76799628942486
2020/07/30	-2.81428571428571
2020/07/31	-2.84990723562152
2020/08/01	-2.85083487940631
2020/08/02	-2.80009276437848
2020/08/03	-2.82282003710575
2020/08/04	-2.82541743970315
2020/08/05	-2.82940630797774
2020/08/06	-2.82736549165121
2020/08/07	-2.81595547309833
2020/08/08	-2.81743970315399
2020/08/09	-2.82244897959184
2020/08/10	-2.75417439703154
2020/08/11	-2.74990723562152
2020/08/12	-2.78719851576994
2020/08/13	-2.84378478664193
2020/08/14	-2.92745825602968
2020/08/15	-3.00148423005566
2020/08/16	-3.02068645640074
2020/08/17	-3.05463821892393
2020/08/18	-3.08209647495362
2020/08/19	-3.04647495361781
2020/08/20	-2.9778293135436
2020/08/21	-2.90166975881262
2020/08/22	-2.82458256029685
2020/08/23	-2.76270871985158
2020/08/24	-2.74981447124304
2020/08/25	-2.72198515769944
2020/08/26	-2.69517625231911
2020/08/27	-2.68756957328386
2020/08/28	-2.67764378478664
2020/08/29	-2.66400742115028
2020/08/30	-2.64202226345084
2020/08/31	-2.60686456400742
2020/09/01	-2.5765306122449
2020/09/02	-2.56326530612245
2020/09/03	-2.55500927643785
2020/09/04	-2.54267161410019
2020/09/05	-2.53979591836735
2020/09/06	-2.52411873840445
2020/09/07	-2.52884972170686
2020/09/08	-2.55769944341373
2020/09/09	-2.55315398886827
2020/09/10	-2.54285714285714
2020/09/11	-2.51679035250464
2020/09/12	-2.49239332096475
2020/09/13	-2.4834879406308
2020/09/14	-2.40074211502783
2020/09/15	-2.37077922077922
2020/09/16	-2.35185528756957
2020/09/17	-2.32625231910946
2020/09/18	-2.30630797773655
2020/09/19	-2.26994434137291
2020/09/20	-2.15111317254174
2020/09/21	-2.09795918367347
2020/09/22	-1.94554730983302
2020/09/23	-1.82532467532468
2020/09/24	-1.82810760667904
2020/09/25	-1.89628942486085
2020/09/26	-1.9113172541744
2020/09/27	-1.98367346938776
2020/09/28	-2.0239332096475
2020/09/29	-2.1474025974026
2020/09/30	-2.25621521335807
2020/10/01	-2.22198515769944
