Kerala;India,35699443
Peoria,179179
Jackson;Oklahoma;US,24530
Telfair;Georgia;US,15860
Karachay-Cherkess Republic,466305
Throckmorton;Texas;US,1501
Vernon,98814
Clark;South Dakota;US,3736
Iron;Utah;US,54839
Sullivan;Tennessee;US,158348
Kleberg;Texas;US,30680
Lonoke,73309
Concho;Texas;US,2726
Gates,11562
Shanghai;China,24240000
Jenkins,8676
Arequipa;Peru,1497400
Marche,1525271
Cass;Illinois;US,12147
Appling;Georgia;US,18386
Terrebonne,110461
Livingston;Missouri;US,15227
Sheboygan,115340
Callaway;Missouri;US,44743
Mitchell,61937
Sedgwick,518290
Bryan;Georgia;US,39627
Wilkin,6207
Stutsman,20704
Linn;Oregon;US,129749
Iowa;US,3155070
Bannock;Idaho;US,87808
Linn;Iowa;US,226706
Santander;Colombia,2184837
Perry,206812
Cass;Iowa;US,12836
Hyde,6238
Pinellas;Florida;US,974996
Josephine,87487
Maui;Hawaii;US,167417
Osaka,8809363
Hickman;Kentucky;US,4380
Schenectady;New York;US,155299
Matagorda,36643
Swift,9266
Covington,61223
Barnstable;Massachusetts;US,212990
Buffalo;Nebraska;US,49659
Southeast Fairbanks,6893
Essex;New Jersey;US,798975
Unknown;Peru,0
Wallace;Kansas;US,1518
Wilbarger,12769
Idaho,3590797
Tottori,555558
Manatee;Florida;US,403253
Tennessee,13658348
Kit Carson,7097
Tuscola,52245
Cayuga;New York;US,76576
Ripley;Indiana;US,28324
Arequipa,1497400
Douglas;Nebraska;US,571327
Sonora,3074745
Crenshaw,13772
Major;Oklahoma;US,7629
Union;New Mexico;US,4059
Glacier,13753
Jay;Indiana;US,20436
Muhlenberg,30622
Harlan;Nebraska;US,3380
Hong Kong;China,7496988
Butler,735158
Novosibirsk Oblast,2788849
Tipton;Tennessee;US,61599
Amazonas;Brazil,4144597
Taylor;West Virginia;US,16695
Bonaire;Sint Eustatius and Saba,26221
Miami;Ohio;US,106987
Mauritius,2543534
Posey;Indiana;US,25427
Knox;Nebraska;US,8332
Monroe;Missouri;US,8644
Valle del Cauca,4475886
Plymouth,546379
Sitka,8493
Pulaski;Illinois;US,5335
Stark,407437
Weston,6927
Bibb;Alabama;US,22394
Hyogo,5466190
Morgan;Utah;US,12124
Penza Oblast,1331655
Charles City,6963
Lander;Nevada;US,5532
